Sample;M;intensity
brain1;1603.6;11850961
brain1;1606.6;79985407
brain1;1609.6;65567237
brain1;1611.6;103669587
brain1;1615.7;23855057
brain1;1627.6;780385113.7
brain1;1631.7;11115077
brain1;1641.5;12386657
brain1;1641.6;45350042.3
brain1;1643.6;197118085
brain1;1649.6;17163055
brain1;1664.7;16963452
brain1;1668.6;2278582336
brain1;1668.7;579036372
brain1;1672.7;18247881
brain1;1682.6;6783908.9
brain1;1684.6;30146496
brain1;1688.7;5882341
brain1;1690.6;109556566
brain1;1700.6;29899454
brain1;1707.6;62997172
brain1;1713.6;107519080
brain1;1713.7;147200585
brain1;1715.6;360363740
brain1;1722.6;22001746
brain1;1723.6;380848626
brain1;1725.7;9897250
brain1;1730.6;79671390
brain1;1731.6;202223865
brain1;1732.6;38922910
brain1;1732.7;246065745
brain1;1738.6;146687822
brain1;1739.6;25221336
brain1;1740.6;937617332
brain1;1746.6;58824133
brain1;1748.6;133470833
brain1;1748.7;129007793
brain1;1749.7;26483783
brain1;1753.7;13532824
brain1;1756.7;18047626
brain1;1757.7;27392133
brain1;1760.7;7558797
brain1;1765.7;28238175
brain1;1766.7;8802248
brain1;1767.7;6427697
brain1;1768.7;80896012
brain1;1769.7;9766765
brain1;1771.7;641637114
brain1;1772.7;28370079
brain1;1773.7;1387243919
brain1;1785.6;13593526
brain1;1788.7;148906153
brain1;1789.7;1061032726
brain1;1790.7;53620909
brain1;1795.6;108786743
brain1;1795.7;6695143
brain1;1803.6;17086957
brain1;1803.7;10088580.2
brain1;1805.7;84573781
brain1;1811.6;14070334.2
brain1;1812.6;10029078
brain1;1814.7;9128354
brain1;1816.7;37736286
brain1;1818.7;86715329
brain1;1827.7;7181865
brain1;1828.7;157636335
brain1;1830.7;530754521.8
brain1;1852.7;6626060
brain1;1853.6;117514404
brain1;1867.7;9691127
brain1;1869.7;77703648
brain1;1870.7;21878762
brain1;1871.7;175194404
brain1;1875.7;299455417
brain1;1875.8;12171194
brain1;1877.7;600987747
brain1;1883.6;39538372
brain1;1883.7;18129272
brain1;1884.7;14476081
brain1;1885.7;361046175
brain1;1891.7;30637243
brain1;1892.7;36243912
brain1;1893.7;666894536
brain1;1894.7;311772885
brain1;1899.7;25284894
brain1;1900.6;5914642
brain1;1900.7;125879794
brain1;1901.7;78105950
brain1;1902.7;1441063700
brain1;1908.6;63348666
brain1;1909.7;31571062
brain1;1910.7;58752066
brain1;1911.7;51326953
brain1;1914.7;8045204
brain1;1915.7;14266394
brain1;1916.7;418783165
brain1;1917.7;53264664
brain1;1918.7;1136961652
brain1;1919.7;19378967
brain1;1923.6;35808788
brain1;1928.7;6367453
brain1;1929.7;6651623
brain1;1930.7;110416597
