Composition;M
N7H7F1G1 || N7H8A1;3030.107102
N7H8F2;3031.127503
N8H5F2A1;3039.143824
N8H5F4;3040.164225
N5H6F1A2G1 || N5H7A3;3044.086367
N5H5F4G2 || N5H6F3A1G1 || N5H7F2A2;3045.106768
N7H8G1;3046.102016
N7H9F1;3047.122417
N8H5F2G1 || N8H6F1A1;3055.138738
N8H6F3;3056.159139
N5H6F1A1G2 || N5H7A2G1;3060.081281
N5H6F3G2 || N5H7F2A1G1 || N5H8F1A2;3061.101682
N7H10;3063.117331
N6H5F3A2;3070.138404
N8H6F1G1 || N8H7A1;3071.133652
N6H5F5A1;3071.158805
N8H7F2;3072.154053
N5H6F1G3 || N5H7A1G2;3076.076195
N5H7F2G2 || N5H8F1A1G1 || N5H9A2;3077.096596
N6H6A3;3085.112917
N6H5F3A1G1 || N6H6F2A2;3086.133318
N8H7G1;3087.128566
N6H5F5G1 || N6H6F4A1;3087.153719
N8H8F1;3088.148967
N5H7G3;3092.071109
N5H8F1G2 || N5H9A1G1;3093.09151
N9H5F3;3097.185689
N6H6A2G1;3101.107831
N6H5F3G2 || N6H6F2A1G1 || N6H7F1A2;3102.128232
N6H6F4G1 || N6H7F3A1;3103.148633
N8H9;3104.143881
N6H7F5;3104.169034
N5H9G2;3109.086424
N9H6A1;3112.160202
N7H4F5A1;3112.185355
N9H6F2;3113.180603
N6H6A1G2;3117.102745
N6H6F2G2 || N6H7F1A1G1 || N6H8A2;3118.123146
N6H7F3G1 || N6H8F2A1;3119.143547
N6H8F4;3120.163948
N7H5F2A2;3127.159868
N9H6G1;3128.155116
N7H4F5G1 || N7H5F4A1;3128.180269
N9H7F1;3129.175517
N6H6G3;3133.097659
N6H7F1G2 || N6H8A1G1;3134.11806
N6H8F2G1 || N6H9F1A1;3135.138461
N6H9F3;3136.158862
N7H5F2A1G1 || N7H6F1A2;3143.154782
N7H5F4G1 || N7H6F3A1;3144.175183
N9H8;3145.170431
N7H6F5;3145.195584
N6H8G2;3150.112974
N6H10A1 || N6H9F1G1;3151.133375
N6H10F2;3152.153776
N7H5F2G2 || N7H6F1A1G1 || N7H7A2;3159.149696
N7H6F3G1 || N7H7F2A1;3160.170097
N7H7F4;3161.190498
N6H10G1;3167.128289
N6H11F1;3168.14869
N10H6F1;3170.202067
N5H6F2A3;3174.149362
N7H6F1G2 || N7H7A1G1;3175.14461
N5H6F4A2;3175.169763
N7H7F2G1 || N7H8F1A1;3176.165011
N7H8F3;3177.185412
N8H5F3A1;3185.201733
N10H7;3186.196981
N8H5F5;3186.222134
N5H6F2A2G1 || N5H7F1A3;3190.144276
N7H7G2;3191.139524
N5H6F4A1G1 || N5H7F3A2;3191.164677
N7H8F1G1 || N7H9A1;3192.159925
N7H9F2;3193.180326
N8H6A2;3200.176246
N8H5F3G1 || N8H6F2A1;3201.196647
N8H6F4;3202.217048
N5H6F2A1G2 || N5H7F1A2G1 || N5H8A3;3206.13919
N5H6F4G2 || N5H7F3A1G1 || N5H8F2A2;3207.159591
N7H9G1;3208.154839
N7H10F1;3209.17524
N8H6A1G1;3216.17116
N6H5F4A2;3216.196313
N8H6F2G1 || N8H7F1A1;3217.191561
N8H7F3;3218.211962
N5H6F2G3 || N5H7F1A1G2 || N5H8A2G1;3222.134104
N5H7F3G2 || N5H8F2A1G1 || N5H9F1A2;3223.154505
N7H11;3225.170154
N6H6F1A3;3231.170826
N8H6G2;3232.166074
N6H5F4A1G1 || N6H6F3A2;3232.191227
N8H7F1G1 || N8H8A1;3233.186475
N6H6F5A1;3233.211628
N8H8F2;3234.206876
N5H7F1G3 || N5H8A1G2;3238.129018
N5H8F2G2 || N5H9F1A1G1;3239.149419
N9H5F4;3243.243598
N6H6F1A2G1 || N6H7A3;3247.16574
N6H5F4G2 || N6H6F3A1G1 || N6H7F2A2;3248.186141
N8H8G1;3249.181389
N6H6F5G1 || N6H7F4A1;3249.206542
N8H9F1;3250.20179
N5H8G3;3254.123932
N5H9F1G2;3255.144333
N9H6F1A1;3258.218111
N9H6F3;3259.238512
N6H6F1A1G2 || N6H7A2G1;3263.160654
N6H6F3G2 || N6H7F2A1G1 || N6H8F1A2;3264.181055
N6H7F4G1 || N6H8F3A1;3265.201456
N8H10;3266.196704
N7H5F3A2;3273.217777
N9H6F1G1 || N9H7A1;3274.213025
N7H5F5A1;3274.238178
N9H7F2;3275.233426
N6H6F1G3 || N6H7A1G2;3279.155568
N6H7F2G2 || N6H8F1A1G1 || N6H9A2;3280.175969
N6H8F3G1 || N6H9F2A1;3281.19637
N7H6A3;3288.19229
N7H5F3A1G1 || N7H6F2A2;3289.212691
N9H7G1;3290.207939
N7H5F5G1 || N7H6F4A1;3290.233092
N9H8F1;3291.22834
N6H7G3;3295.150482
N6H8F1G2 || N6H9A1G1;3296.170883
N6H10F1A1 || N6H9F2G1;3297.191284
N7H6A2G1;3304.187204
N7H5F3G2 || N7H6F2A1G1 || N7H7F1A2;3305.207605
N7H6F4G1 || N7H7F3A1;3306.228006
N9H9;3307.223254
N7H7F5;3307.248407
N6H9G2;3312.165797
N6H10F1G1 || N6H11A1;3313.186198
N10H6F2;3316.259976
N7H6A1G2;3320.182118
N5H6F3A3;3320.207271
N7H6F2G2 || N7H7F1A1G1 || N7H8A2;3321.202519
N7H7F3G1 || N7H8F2A1;3322.22292
N7H8F4;3323.243321
N6H11G1;3329.181112
N8H5F4A1;3331.259642
N10H7F1;3332.25489
N7H6G3;3336.177032
N5H6F3A2G1 || N5H7F2A3;3336.202185
N7H7F1G2 || N7H8A1G1;3337.197433
N7H8F2G1 || N7H9F1A1;3338.217834
N7H9F3;3339.238235
N8H6F1A2;3346.234155
N8H5F4G1 || N8H6F3A1;3347.254556
N10H8;3348.249804
N8H6F5;3348.274957
N5H6F3A1G2 || N5H7F2A2G1 || N5H8F1A3;3352.197099
N7H8G2;3353.192347
N7H10A1 || N7H9F1G1;3354.212748
N7H10F2;3355.233149
N8H6F1A1G1 || N8H7A2;3362.229069
N6H5F5A2;3362.254222
N8H6F3G1 || N8H7F2A1;3363.24947
N8H7F4;3364.269871
N5H6F3G3 || N5H7F2A1G2 || N5H8F1A2G1 || N5H9A3;3368.192013
N7H10G1;3370.207662
N7H11F1;3371.228063
N6H6F2A3;3377.228735
N8H6F1G2 || N8H7A1G1 || N6H5F5A1G1 || N6H6F4A2;3378.223983
N6H5F5A1G1;3378.249136
N8H7F2G1 || N8H8F1A1;3379.244384
N8H8F3;3380.264785
N5H7F2G3 || N5H8F1A1G2 || N5H9A2G1;3384.186927
N7H12;3387.222977
N11H7;3389.276354
N9H5F5;3389.301507
N6H6F2A2G1 || N6H7F1A3;3393.223649
N8H7G2;3394.218897
N6H5F5G2 || N6H6F4A1G1 || N6H7F3A2;3394.24405
N8H8F1G1 || N8H9A1;3395.239298
N6H7F5A1;3395.264451
N8H9F2;3396.259699
N5H8F1G3 || N5H9A1G2;3400.181841
N9H6F2A1;3404.27602
N9H6F4;3405.296421
N6H6F2A1G2 || N6H7F1A2G1 || N6H8A3;3409.218563
N6H6F4G2 || N6H7F3A1G1 || N6H8F2A2;3410.238964
N8H9G1;3411.234212
N6H7F5G1 || N6H8F4A1;3411.259365
N8H10F1;3412.254613
N5H9G3;3416.176755
N7H5F4A2;3419.275686
N9H6F2G1 || N9H7F1A1;3420.270934
N9H7F3;3421.291335
N6H6F2G3 || N6H7F1A1G2 || N6H8A2G1;3425.213477
N6H7F3G2 || N6H8F2A1G1 || N6H9F1A2;3426.233878
N6H8F4G1 || N6H9F3A1;3427.254279
N8H11;3428.249527
N7H6F1A3;3434.250199
N7H5F4A1G1 || N7H6F3A2;3435.2706
N9H7F1G1 || N9H8A1;3436.265848
N7H6F5A1;3436.291001
N9H8F2;3437.286249
N6H7F1G3 || N6H8A1G2;3441.208391
N6H10A2 || N6H8F2G2 || N6H9F1A1G1;3442.228792
N6H10F2A1 || N6H9F3G1;3443.249193
N7H6F1A2G1 || N7H7A3;3450.245113
N7H5F4G2 || N7H6F3A1G1 || N7H7F2A2;3451.265514
N9H8G1;3452.260762
N7H6F5G1 || N7H7F4A1;3452.285915
N9H9F1;3453.281163
N6H8G3;3457.203305
N6H10A1G1 || N6H9F1G2;3458.223706
N6H10F2G1 || N6H11F1A1;3459.244107
N10H6F3;3462.317885
N7H6F1A1G2 || N7H7A2G1;3466.240027
N5H6F4A3;3466.26518
N7H6F3G2 || N7H7F2A1G1 || N7H8F1A2;3467.260428
N7H7F4G1 || N7H8F3A1;3468.280829
N9H10;3469.276077
N7H8F5;3469.30123
N6H10G2;3474.21862
N6H11F1G1;3475.239021
N10H7A1;3477.292398
N8H5F5A1;3477.317551
N10H7F2;3478.312799
